sum.taxonomy,K0512_L7,K0514_B2,K0514_E4,K0514_L7,K0515_G5,K0515_K6,K0515_L7,K0572_B2,K0611_K6,K0613_A1,K0613_B2,K0613_K6,K0613_M8,K0614_G5,K0614_T9,K0615_L7,K0616_B2,K0616_C3,K0616_G5,K0616_K6,K0617_B2,K0617_C3,K0617_E4,K0617_L7,K0618_G5,K0619_E4,K0619_M8,K0619_T9,K0712_A1,K0712_B2,K0712_K6,K0713_C3,K0714_T9,K0715_A1,K0716_B2,K0717_C3,K0717_K6,K0718_A1,K0718_B2,K0719_G5,K0719_K6,K0720_L7,K0757_A1,K0759_E4,K0773_A1,K0774_M8,K0777_G5,K0778_A1,K0779_E4,K0779_K6,K0779_T9,K0792_C3,K0832_K6,K0835_A1,K0836_G5,K0838_B2,K0713_G5
Abditibacteriota;Abditibacteria;Abditibacteriales;Abitibacteriaceae;Abditibacterium;Abditibacterium utsteinense,61,5,0,0,25,0,0,41,0,0,0,0,0,0,3,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,8,0,0,14,0,5,3,3,28,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;NA;;Cytophagales bacterium,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;NA;Chryseolinea;,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,8,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;NA;Chryseolinea;Chryseolinea flava,0,0,0,0,0,0,0,19,0,0,0,0,30,0,0,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,7,0,0,0,0,0,0,15,13,8,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;NA;NA;Cytophagales bacterium,0,26,0,0,0,0,5,0,13,12,0,29,51,7,0,21,0,0,350,14,7,3,8,23,0,0,6,37,0,0,20,0,7,9,8,42,3,57,55,0,38,20,11,0,20,30,0,2,0,14,13,75,10,0,16,0,0
Bacteroidetes;Cytophagia;Cytophagales;NA;Thermoflexibacter;Thermoflexibacter ruber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Raineyaceae;Raineya;Raineya orbicola,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;NA;NA;NA;Cytophagia bacterium enrichment culture clone EC8-10-1_C3,0,0,0,31,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;NA;NA;NA;Cytophagia bacterium enrichment culture clone EC8-10-1_F9,0,0,0,10,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;NA;NA;NA;Cytophagia bacterium IMCC14975,0,0,15,30,0,32,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Brumimicrobium;,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,17,0,24,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola;,0,0,0,0,4,0,13,0,0,0,0,0,37,5,0,0,0,0,9,0,42,0,2,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,16,0,7,0,0,0,0,0,8,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Lishizhenia;Lishizhenia tianjinensis,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;NA;,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Salinirepens;Salinirepens amamiensis,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,3,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;NA;Cryomorphaceae bacterium,0,0,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,7,15,82,3,34,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,29,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;NA;Cryomorphaceae bacterium DG1579,0,0,0,0,34,0,0,0,0,0,0,0,39,0,0,249,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;,0,0,0,0,0,65,0,24,0,0,0,0,3,2,0,0,0,5,0,6,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,7,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;Owenweeksia sp.,0,0,11,0,0,0,4,4,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aequorivita;,0,0,0,15,10,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Apibacter;,0,0,0,0,0,0,0,0,15,63,36,0,8,9,0,0,0,0,0,36,14,10,66,48,17,8,36,7,0,0,0,0,55,0,0,0,0,0,0,0,0,0,26,0,0,35,0,0,0,0,0,40,0,0,45,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Apibacter;Apibacter sp. wkB309,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,81,0,0,0,0,0,0,0,16,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Arenibacter;,0,0,0,0,0,0,0,0,0,0,0,55,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aureisphaera;Aureisphaera salina,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;,0,0,0,4,0,0,2,0,0,0,0,1,31,0,10,0,0,45,0,0,16,0,0,1,0,0,0,0,0,0,8,0,0,0,0,24,13,5,4,0,0,0,0,0,0,16,0,0,0,20,0,0,0,0,1,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;Chryseobacterium sp.,0,9,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,29,0,0,0,0,31,4,10,5,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;Chryseobacterium sp. A5,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;,0,0,0,0,0,0,2,0,0,1,0,48,3,15,0,0,5,0,0,29,0,0,9,0,0,302,6,0,0,0,0,0,13,14,0,20,0,0,0,0,0,0,0,0,0,6,8,0,0,41,13,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Confluentibacter;,0,0,0,0,3,0,0,0,0,0,0,39,15,0,0,24,0,20,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,219,0,0,0,35,0,0,0,4,0,0,0,44,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;,25,348,0,106,82,0,15,167,6,18,9,85,314,1,28,12,0,43,737,28,25,3,8,267,1,6,8,25,74,19,23,841,49,51,22,100,54,32,64,30,2,73,0,1412,111,12,0,8,0,18,55,15,2,4,38,27,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium columnare,0,88,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,26,0,17,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium noncentrifugens,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium qiangtangense,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp.,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,0,1,0,0,207,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Gillisia;,0,0,0,5,102,0,0,0,0,0,0,0,0,0,114,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter;,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Muricauda;,0,0,0,0,0,0,0,0,0,0,0,5,38,0,0,0,0,36,0,0,13,0,9,0,0,0,20,14,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;,0,17,253,113,599,104,191,113,194,307,289,973,157,100,616,174,301,218,6,232,31,218,81,160,12,72,421,62,299,80,454,109,217,156,74,158,31,481,155,0,23,276,122,20,54,231,210,457,76,73,118,140,7,2,225,747,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;Flavobacteriaceae bacterium KHS1,0,0,0,71,0,0,0,0,0,0,0,64,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Planktosalinus;Planktosalinus lacus,0,0,270,126,0,16,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,172,27,5,0,0,23,87,6,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter atrinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Psychroflexus;,0,0,0,41,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Robertkochia;,0,0,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,9,0,0,0,0,0,0,6,12,0,13,0,0,0,3,6,0,22,6,0,0,0,0,0,0,0,0,0,0,0,17,5,0,64,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salegentibacter;,0,0,7,4,0,0,0,0,0,0,0,5,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salegentibacter;Salegentibacter sp. MED445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salinimicrobium;,0,0,0,0,27,0,0,16,0,0,0,0,36,0,39,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,49,7,0,0,0,0,0,0,0,0,0,0,20,0,8,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salinimicrobium;Salinimicrobium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Sediminibacter;Sediminibacter furfurosus,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;Ulvibacter antarcticus,0,0,80,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;Winogradskyella eximia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zeaxanthinibacter;Zeaxanthinibacter aestuarii,0,0,22,0,0,0,0,0,0,0,0,34,0,0,0,21,0,22,0,0,0,0,0,3,0,0,0,2,929,0,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,47,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zunongwangia;Zunongwangia profunda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;NA;;,0,67,40,234,52,27,99,11,56,36,64,4,35,50,67,3,32,2,52,10,0,57,52,34,40,57,113,81,0,41,13,56,82,69,31,84,11,21,50,0,54,1,22,158,71,60,11,4,23,13,202,122,2,0,80,10,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;NA;NA;Candidatus Uzinura diaspidicola,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,19,0,0,22,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Bacteroidetes;Flavobacteriia;NA;;NA;,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,18,0,0,0,15,0,0,3,6,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;NA;;NA;;,214,592,206,541,829,238,972,554,681,1058,1125,545,834,1478,822,355,543,229,461,1104,336,665,1108,945,162,967,1995,726,487,477,533,324,2366,829,750,1457,248,355,825,177,1204,723,581,615,1043,2034,435,276,217,1031,725,1424,118,38,873,500,0
Bacteroidetes;NA;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;NA;,8,9,40,6,144,15,3,64,2,0,1,16,2,2,98,6,0,145,0,12,5,0,7,0,4,0,1,0,14,48,10,51,0,16,45,17,0,2,29,13,0,0,0,21,1,7,0,11,0,0,0,0,14,17,0,61,0
Bacteroidetes;NA;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter;Salinibacter sp. AK113,0,0,0,0,4,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;NA;NA;NA;Bifissio;Bifissio spartinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;Haliscomenobacter;,0,2,0,26,0,0,0,0,0,0,0,6,1,0,9,14,5,1,0,2,3,0,6,0,0,0,2,0,28,1,0,0,2,38,5,4,0,7,3,0,5,44,0,0,0,6,2,1,0,83,0,0,0,0,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;Haliscomenobacter;Candidatus Haliscomenobacter calcifugiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;NA;,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,0,0,6,0,0,0,0,0,0,0,43,2,0,8,8,0,4,3,0,0,9,7,0,0,0,0,0,9,0,0,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;Phaeodactylibacter;,0,32,24,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,22,4,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0
Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;Phaeodactylibacter;Phaeodactylibacter xiamenensis,0,4,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,18,0,35,0,0,0,20,0,0,0,0,0,0,0,36,132,0,0,0,0,20,0,0,0,0,14,0,0,0,0,17,6,0,0,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Lewinellaceae;Lewinella;,0,0,2,0,21,61,2,0,0,1,0,36,8,8,1,6,7,4,27,0,10,4,12,8,0,0,0,13,12,0,66,0,19,6,9,63,3,71,7,0,20,0,0,0,10,6,0,49,0,38,104,37,11,0,0,72,0
Bacteroidetes;Saprospiria;Saprospirales;Lewinellaceae;Lewinella;Lewinella cohaerens,0,19,60,0,0,0,5,0,0,0,13,6,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,3,0,0,42,0,0,0,34,2,30,74,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,21,0
Bacteroidetes;Saprospiria;Saprospirales;Lewinellaceae;Lewinella;Lewinella lacunae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Bacteroidetes;Saprospiria;Saprospirales;Lewinellaceae;Lewinella;Lewinella nigricans,0,1,0,23,2,0,5,70,0,0,0,79,12,1,0,2,0,1,0,23,6,0,3,9,0,0,0,4,74,0,80,0,8,0,2,11,3,27,19,0,0,17,0,0,8,8,0,74,0,1,0,0,7,0,0,572,0
Bacteroidetes;Saprospiria;Saprospirales;NA;;,0,131,24,290,8,53,121,0,30,33,16,101,46,49,183,71,21,36,34,106,34,6,84,50,5,12,12,19,678,14,188,0,57,177,232,347,44,292,162,0,21,36,16,0,127,17,87,901,16,816,96,32,16,0,129,111,0
Bacteroidetes;Saprospiria;Saprospirales;Saprospiraceae;Candidatus Aquirestis;Candidatus Aquirestis calciphila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Saprospiraceae;Membranicola;Membranicola marinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Saprospiraceae;NA;,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,7,0,0,0,0,39,0
Bacteroidetes;Saprospiria;Saprospirales;Saprospiraceae;NA;Saprospiraceae bacterium enrichment culture clone Lt-H9,0,7,0,0,0,0,0,0,0,0,0,2,26,8,0,3,0,0,9,9,6,1,6,11,0,0,0,0,0,0,0,0,16,0,10,0,3,0,4,0,5,0,0,0,8,5,2,14,0,80,3,0,0,0,2,3,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;;,8,50,0,0,1,0,2,0,15,17,5,6,27,10,0,6,0,3,4,4,12,2,12,42,0,0,0,12,6,0,7,0,12,0,8,0,14,48,11,0,3,0,4,0,298,0,0,0,0,4,4,13,0,0,4,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;;Sphingobacteriales bacterium,17,35,0,1,34,0,2,47,0,4,0,4,22,22,0,10,0,0,52,0,10,0,11,17,0,0,12,10,0,0,14,7,27,0,7,6,0,9,19,0,2,0,5,18,20,12,0,8,0,19,0,6,0,13,0,5,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;NA;Sphingobacteriales bacterium TP498,0,177,0,0,0,0,32,0,70,67,33,43,95,71,0,12,4,45,13,149,37,26,55,78,3,8,38,86,0,0,40,0,46,42,52,30,22,17,56,0,8,0,38,0,117,67,0,0,0,4,41,67,19,0,101,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;NA;Sphingobacteriales bacterium TP524,0,31,0,21,373,0,0,53,0,0,0,0,4,38,0,0,0,0,0,29,0,0,0,0,0,0,0,7,28,0,0,68,0,0,1,0,25,5,18,0,0,0,0,253,31,2,0,0,0,4,0,6,13,0,0,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;,4,14,0,0,4,0,4,0,0,0,4,0,12,0,0,0,0,0,0,0,29,0,0,17,0,2,5,0,15,0,2,38,0,0,4,12,7,0,5,36,0,0,0,10,20,4,0,0,1,0,3,5,0,0,0,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;Sphingobacteriaceae bacterium kmd_314,0,16,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;,221,20,0,7,11,0,0,256,0,0,0,5,78,8,7,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,4,1023,13,0,4,24,0,0,0,59,0,6,0,660,0,6,0,0,0,0,0,0,1,18,0,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter sp. p2(2011),0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14,0,0,0,30,0,14,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
