sum.taxonomy,K0601_B2,K0601_C3,K0601_E4,K0601_G5,K0601_K6,K0601_L7,K0601_M8,K0601_T9,K0603_A1,K0603_B2,K0603_E4,K0603_G5,K0603_K6,K0603_L7,K0603_M8,K0603_T9,K0605_T9,K0607_A1,K0607_B2,K0607_C3,K0607_E4,K0607_G5,K0607_K6,K0607_L7,K0607_M8,K0607_T9,K0608_B2,K0608_E4,K0608_K6,K0608_L7,K0608_M8,K0608_T9,K0609_A1,K0609_B2,K0609_C3,K0609_E4,K0609_G5,K0609_K6,K0609_L7,K0609_M8,K0609_T9,K0612_G5,K0614_M8,K0760_B2,K0840_E4
Abditibacteriota;Abditibacteria;Abditibacteriales;Abitibacteriaceae;Abditibacterium;Abditibacterium utsteinense,2,0,0,2,0,2,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,26,27,0,0,0,0,114,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;NA;,0,131,0,36,23,0,0,18,98,20,57,30,0,4,142,5,3,44,0,0,0,9,2,34,0,42,0,0,8,0,0,42,6,16,11,0,0,0,0,3,64,13,0,0,5
Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;NA;Cyclobacteriaceae bacterium Pbc-contp1,0,0,0,0,0,0,0,50,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;,0,26,0,0,56,1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter;,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,8,8,0,6,1,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Emticicia;,4,5,6,0,19,12,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,10,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Flexibacter;Flexibacter flexilis,0,3,0,0,8,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Lacihabitans;,0,6,0,0,0,7,0,0,11,0,0,0,0,4,0,0,0,0,0,4,0,18,0,0,0,0,3,0,6,0,0,0,7,10,0,0,0,0,3,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;NA;,20,11,5,0,7,3,4,0,37,5,0,49,5,23,0,7,5,0,0,15,3,0,5,2,1,6,16,0,0,33,0,0,17,16,7,0,10,35,15,1,15,8,73,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;NA;Cytophagaceae bacterium UDD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,19,49,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;NA;Flexibacteraceae bacterium R966,0,0,0,0,0,0,0,0,8,0,28,0,0,0,0,14,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Nibrella;Nibrella sp. RMKU6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,6,9,0,0,0,0,112,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia;,0,13,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,23,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia;Ohtaekwangia koreensis,15,27,0,0,3,12,0,0,44,0,5,0,0,31,0,0,0,0,0,0,21,0,60,0,0,26,0,0,0,0,0,0,11,24,12,0,0,0,98,0,0,74,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia;Ohtaekwangia kribbensis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia;Ohtaekwangia sp.,0,6,0,0,17,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,30,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Rhabdobacter;Rhabdobacter roseus,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Rhodocytophaga;,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,34,35,0,0,0,0,65,0,0
Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Telluribacter;Telluribacter humicola,0,0,0,8,0,0,0,0,0,0,0,0,0,0,32,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,15,18,0,0,0,0,4,0,0
Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marivirga;,0,0,0,12,6,0,0,2,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,29
Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marivirga;Marivirga sp.,0,0,0,0,0,0,0,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;NA;,1,2,0,50,0,0,0,29,22,0,28,12,2,5,229,175,0,166,0,0,2,0,0,2,180,5,0,0,0,0,0,1,1,20,0,0,23,6,32,2,25,2,0,0,8
Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;NA;Flammeovirgaceae bacterium DG1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Nafulsella;,0,0,0,37,0,0,0,0,0,0,0,0,0,0,91,208,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Nafulsella;Nafulsella sp.,0,0,0,23,0,0,0,0,0,0,4,0,0,0,22,67,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Nafulsella;Nafulsella turpanensis,0,0,0,15,0,0,0,0,0,0,21,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;,0,0,0,0,0,0,0,0,0,0,0,2,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,99,370,0,0,0,7,428,0,0
Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter aerolatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,17,108,0,0,0,0,93,0,0
Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter aquaticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,87,0,0,0,0,30,0,0
Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter sp. enrichment culture clone Lpl1-269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,0,0,0,0,2,0,0
Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter sp. KS35,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter sp. ST_BT3S_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter terreus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,19,11,0,0
Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,4,10,0,0,0,0,40,0,0
Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;NA;,0,22,0,2,0,0,0,1,14,0,0,0,0,42,90,12,0,11,0,0,0,0,0,25,0,0,0,0,0,181,0,0,0,0,3,0,86,143,0,0,13,39,322,0,0
Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Pontibacter;,0,0,0,757,0,0,7,0,7,4,130,0,0,0,776,1009,22,675,5,0,0,13,0,0,0,0,1,16,12,45,0,0,0,5,0,4,202,196,0,0,0,1,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Rufibacter;,0,0,0,16,0,0,0,0,0,0,5,0,0,0,27,20,0,12,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,11,29,0,0,0,0,32,0,0
Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Rufibacter;Rufibacter sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0,0,24,0,0
Bacteroidetes;Cytophagia;Cytophagales;unknown;;,81,311,0,106,17,26,0,174,169,50,281,88,46,312,370,318,41,457,0,2,29,67,175,118,226,90,13,27,48,153,54,53,240,80,317,10,123,114,100,44,270,86,378,11,72
Bacteroidetes;Cytophagia;Cytophagales;unknown;;Cytophagales bacterium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,12,4,0,0,0,0,0
Bacteroidetes;Cytophagia;Cytophagales;unknown;NA;Cytophagales bacterium,29,0,0,0,5,0,1,0,116,0,1,7,13,51,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,8,8,0,0,11,4,0,0,0,67,0,4,0,0,0,0
Bacteroidetes;Cytophagia;unknown;unknown;NA;,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
Bacteroidetes;Cytophagia;unknown;unknown;NA;Cytophagia bacterium IMCC14975,0,0,0,23,0,0,0,21,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,95
Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola;,0,0,7,0,35,15,4,0,11,0,0,0,15,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,3,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola;Candidatus Fluviicola riflensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;NA;,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;NA;Cryomorphaceae bacterium,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,7,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;NA;Cryomorphaceae bacterium DG1579,0,0,0,0,105,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,11,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;,0,12,14,0,81,11,2,0,13,0,1,0,11,5,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;Owenweeksia sp.,0,15,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;Owenweeksia sp. MEBiC09403,0,0,0,0,0,0,0,91,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aequorivita;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Apibacter;,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,16,23,58,0,0,0,9,16,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Arenibacter;,0,0,0,0,97,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;,11,0,0,0,13,6,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Confluentibacter;,0,0,0,0,3,4,0,0,24,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;,51,174,253,31,825,86,5,0,295,9,49,22,8,80,113,24,0,11,0,36,21,17,11,115,0,51,5,4,13,3,0,0,3,134,20,0,270,32,33,32,6,171,29,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp.,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Muricauda;,0,408,0,0,28,0,0,0,82,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,3,0,0,0,5,0,0,216,32,0,0,0,0,10,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;,10,172,23,503,177,238,65,263,625,58,199,163,51,234,426,1170,45,1831,121,506,16,207,57,379,10,79,15,50,122,0,26,1219,297,1228,99,116,66,0,4,3,470,99,0,6,39
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;Flavobacteriaceae bacterium KHS1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,17
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Psychroflexus;,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,60
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Robertkochia;,2,12,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salegentibacter;,0,111,0,0,151,0,0,19,49,0,86,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,4,3,0,0,0,0,11,0,3,0,0,208
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salinimicrobium;,0,43,0,309,246,0,0,0,101,0,0,0,0,0,211,175,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,0,10,0,0,89,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salinimicrobium;Salinimicrobium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,11,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zeaxanthinibacter;Zeaxanthinibacter aestuarii,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,22,0,0,0,0
Bacteroidetes;Flavobacteriia;Flavobacteriales;unknown;;,1,47,19,25,67,10,4,154,14,4,42,29,5,12,0,51,18,41,0,16,0,5,17,45,0,28,12,13,21,0,14,0,13,58,6,5,80,0,0,5,35,1,0,0,99
Bacteroidetes;Flavobacteriia;Flavobacteriales;unknown;NA;Candidatus Uzinura diaspidicola,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Flavobacteriia;unknown;unknown;NA;,0,3,0,0,2,0,0,0,10,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,14,0,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;Haliscomenobacter;,15,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;NA;,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Lewinellaceae;Lewinella;,16,0,0,0,0,0,0,11,0,0,6,0,4,71,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,4,0
Bacteroidetes;Saprospiria;Saprospirales;Lewinellaceae;Lewinella;Lewinella cohaerens,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Lewinellaceae;Lewinella;Lewinella nigricans,0,0,0,0,0,5,0,3,0,0,16,4,0,67,0,0,0,0,0,0,12,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,1,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Lewinellaceae;Lewinella;Lewinella sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;Saprospiraceae;NA;,4,1,0,0,4,0,0,0,9,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Saprospiria;Saprospirales;unknown;;,50,19,17,0,73,265,7,12,24,0,38,18,29,113,0,9,0,0,12,110,28,90,24,267,56,89,5,10,13,0,0,10,38,28,9,3,0,0,67,0,98,95,0,0,9
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter sp. M67C4,0,90,14,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;,0,0,25,4,0,0,0,0,0,0,4,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,16,7,0,25,0,0,0,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;,0,0,7,65,185,0,0,0,2,0,25,0,44,0,133,21,0,14,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,43,0,0,201,45,0,24,0,5,123,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter rivuli,0,3,0,0,20,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;Sphingobacterium sp. P-7,3,0,0,0,0,0,0,0,0,0,0,0,26,0,5,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;unknown;;,19,0,0,0,0,10,0,0,5,0,0,0,0,6,0,0,0,0,0,0,8,14,0,5,0,0,0,1,1,0,0,0,1,0,0,2,0,0,15,0,14,47,0,1,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;unknown;;Sphingobacteriales bacterium,30,18,0,0,20,8,3,0,24,13,0,0,66,2,0,0,5,0,0,0,15,7,18,25,0,33,0,0,1,0,0,0,0,3,8,0,6,6,11,0,6,18,0,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;unknown;NA;Sphingobacteriales bacterium TP498,35,0,0,0,0,27,4,0,132,5,0,0,0,32,0,0,13,0,7,0,18,14,23,30,0,21,14,44,22,0,1,0,25,91,8,0,0,0,168,0,0,32,0,0,0
Bacteroidetes;Sphingobacteriia;Sphingobacteriales;unknown;NA;Sphingobacteriales bacterium TP524,0,0,0,8,0,0,0,0,0,0,9,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,40,0,0,0
Bacteroidetes;unknown;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;NA;,1,0,0,0,0,0,0,69,0,0,13,0,0,0,0,75,0,27,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,9,6,0,0,12,1,0,0,8
Bacteroidetes;unknown;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter;Salinibacter sp. AK113,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes;unknown;unknown;unknown;;,467,312,360,315,385,368,461,156,1123,618,143,48,283,355,246,865,612,1286,378,942,425,857,683,580,165,443,270,716,793,68,272,71,1129,371,338,150,152,113,283,749,364,567,102,107,319
Balneolaeota;Balneolia;Balneolales;Balneolaceae;Aliifodinibius;,0,0,0,109,0,0,0,112,0,0,59,0,0,0,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,90
Balneolaeota;Balneolia;Balneolales;Balneolaceae;Gracilimonas;,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
Balneolaeota;Balneolia;Balneolales;Balneolaceae;NA;,0,95,0,12,0,0,0,914,54,0,548,0,0,0,4,56,0,201,0,0,0,0,0,0,130,52,0,0,0,0,0,284,0,0,1,0,14,0,0,0,257,1,0,0,1712
Balneolaeota;Balneolia;Balneolales;Balneolaceae;Rhodohalobacter;,0,0,0,12,0,0,0,2710,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,558
Balneolaeota;unknown;unknown;unknown;;,0,0,0,0,0,0,0,39,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2
Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Coprinus;Coprinus cordisporus,0,0,0,0,888,0,0,0,0,0,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0
Basidiomycota;Agaricomycetes;Agaricales;Bolbitiaceae;Conocybe;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinellus;,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,32,0,0,0,0,0,12,0,296,0,0,304,0,43,0,0,0,0,0,0,0,0
Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinellus;Coprinellus verrucispermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0
